CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME FORMATTED
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
-1.71494E1,0E0
-1.69824E1,0E0
-1.69043E1,0E0
-1.69267E1,0E0
-1.69902E1,0E0
-1.69951E1,0E0
-1.67373E1,0E0
-1.66455E1,0E0
-1.67373E1,0E0
-1.67451E1,0E0
-1.66533E1,0E0
-1.65410E1,0E0
-1.66435E1,0E0
-1.68837E1,0E0
-1.68183E1,0E0
-1.65507E1,0E0
-1.63613E1,0E0
-1.63310E1,0E0
-1.63876E1,0E0
-1.61367E1,0E0
-1.57597E1,0E0
-1.56533E1,0E0
-1.57602E1,0E0
-1.57963E1,0E0
-1.55703E1,0E0
-1.52299E1,0E0
-1.51792E1,0E0
-1.52788E1,0E0
-1.52075E1,0E0
-1.49399E1,0E0
-1.46982E1,0E0
-1.47236E1,0E0
-1.47563E1,0E0
-1.45376E1,0E0
-1.42168E1,0E0
-1.39995E1,0E0
-1.39384E1,0E0
-1.38637E1,0E0
-1.36264E1,0E0
-1.34326E1,0E0
-1.33945E1,0E0
-1.33598E1,0E0
-1.31899E1,0E0
-1.29130E1,0E0
-1.28252E1,0E0
-1.28178E1,0E0
-1.27021E1,0E0
-1.24965E1,0E0
-1.23369E1,0E0
-1.23335E1,0E0
-1.24145E1,0E0
-1.22456E1,0E0
-1.19555E1,0E0
-1.17856E1,0E0
-1.18149E1,0E0
-1.18408E1,0E0
-1.18217E1,0E0
-1.17265E1,0E0
-1.16674E1,0E0
-1.17163E1,0E0
-1.17646E1,0E0
-1.16406E1,0E0
-1.14873E1,0E0
-1.13530E1,0E0
-1.12880E1,0E0
-1.13330E1,0E0
-1.13193E1,0E0
-1.11977E1,0E0
-1.11147E1,0E0
-1.11181E1,0E0
-1.11123E1,0E0
-1.10634E1,0E0
-1.09960E1,0E0
-1.10654E1,0E0
-1.1146E1,0E0
-1.11298E1,0E0
-1.10756E1,0E0
-1.10361E1,0E0
-1.10190E1,0E0
END
BEGIN
9.91027E-1,-1.96289E-1
9.72808E-1,-2.35015E-1
9.66583E-1,-2.80181E-1
9.49585E-1,-3.40942E-1
9.21630E-1,-4.09729E-1
9.06951E-1,-5.04058E-1
8.67645E-1,-5.76080E-1
8.23089E-1,-6.12182E-1
7.79632E-1,-6.68853E-1
7.12097E-1,-7.21893E-1
6.49169E-1,-7.64160E-1
5.83587E-1,-8.06488E-1
5.10955E-1,-8.34472E-1
4.36187E-1,-8.73748E-1
3.35845E-1,-9.18243E-1
2.65472E-1,-9.42108E-1
1.97204E-1,-9.73602E-1
1.24145E-1,-9.89715E-1
0.57525E-1,-9.96337E-1
-1.37939E-2,-1.00354E0
-6.86340E-2,-9.92675E-1
-1.10473E-1,-9.84832E-1
-1.76757E-1,-9.75830E-1
-2.39990E-1,-9.52423E-1
-3.03222E-1,-9.32251E-1
-3.65570E-1,-9.04968E-1
-4.23004E-1,-8.76251E-1
-5.07019E-1,-8.48053E-1
-5.70617E-1,-8.11248E-1
-6.17401E-1,-7.72766E-1
-6.66229E-1,-7.32238E-1
-7.20581E-1,-6.88415E-1
-7.77191E-1,-6.36779E-1
-8.11523E-1,-5.92712E-1
-8.09722E-1,-5.57830E-1
-8.36029E-1,-5.11261E-1
-8.65173E-1,-4.57611E-1
-8.91387E-1,-4.03137E-1
-9.02832E-1,-3.45245E-1
-9.0448E-1,-2.97576E-1
-9.26727E-1,-2.36236E-1
-9.49890E-1,-1.63147E-1
-9.58252E-1,-9.98535E-2
-9.58984E-1,-2.89611E-2
-9.60388E-1,0.32379E-1
-9.71405E-1,0.82214E-1
-9.71130E-1,1.41113E-1
-9.55932E-1,1.94580E-1
-9.42932E-1,2.48382E-1
-9.23950E-1,2.99408E-1
-9.13330E-1,3.41705E-1
-8.86016E-1,3.94043E-1
-8.40026E-1,4.45465E-1
-8.07006E-1,4.94812E-1
-7.74902E-1,5.49377E-1
-7.38281E-1,5.97991E-1
-7.01965E-1,6.47430E-1
-6.56311E-1,6.92260E-1
-6.23687E-1,7.32788E-1
-5.87707E-1,7.79846E-1
-5.35797E-1,8.12133E-1
-4.85229E-1,8.40698E-1
-4.31457E-1,8.68804E-1
-3.79547E-1,8.91082E-1
-3.22479E-1,9.11254E-1
-2.43194E-1,9.12139E-1
-1.72302E-1,9.13574E-1
-1.07513E-1,9.24713E-1
-4.31213E-2,9.32159E-1
0.29144E-1,9.34112E-1
1.11389E-1,9.24652E-1
1.75872E-1,9.16137E-1
2.32513E-1,9.22027E-1
2.93853E-1,9.11468E-1
3.59130E-1,8.90899E-1
4.23339E-1,8.61572E-1
4.63867E-1,8.28155E-1
5.02716E-1,8.00964E-1
5.5896E-1,7.57690E-1
6.07116E-1,7.10418E-1
6.53778E-1,6.60003E-1
6.8573E-1,6.02874E-1
7.24914E-1,5.47393E-1
7.86102E-1,4.81018E-1
8.29467E-1,4.11071E-1
8.58184E-1,3.49426E-1
8.84765E-1,2.82104E-1
9.12048E-1,2.18627E-1
9.43328E-1,1.48284E-1
9.47540E-1,0.78949E-1
9.37652E-1,0.22766E-1
9.34021E-1,-4.60510E-2
9.23828E-1,-1.21093E-1
9.09851E-1,-1.90002E-1
8.81500E-1,-2.56897E-1
8.49243E-1,-3.16772E-1
8.22662E-1,-3.92089E-1
7.85339E-1,-4.66949E-1
7.49969E-1,-5.25054E-1
7.11090E-1,-5.80688E-1
